model,layer,contact_cutoff,mean,median,std,count
prott5_enc,18,8.0,0.03845017,0.029593691,0.07137326,8192
prott5_enc,18,10.0,0.028997255,0.02262957,0.06153555,8192
prott5_enc,21,6.0,0.043697555,0.03205099,0.065087184,8192
prott5_enc,21,8.0,0.0524361,0.04218928,0.063997656,8192
prott5_enc,21,10.0,0.045405053,0.03780279,0.05064849,8192
prott5_enc,23,6.0,0.032047775,0.025461238,0.041440886,8192
prott5_enc,23,8.0,0.0364006,0.03136101,0.038105633,8192
prott5_enc,23,10.0,0.030136608,0.02644262,0.02886718,8192
rita,0,6.0,0.003793989,0.0009407723,0.024090594,12288
rita,0,8.0,0.0024771758,0.0008674464,0.02728957,12288
rita,0,10.0,-0.00045795823,-0.0002751751,0.02479843,12288
rita,3,6.0,0.004303063,-0.00086032005,0.071525596,12288
rita,3,8.0,0.0020492554,-0.0016358616,0.07793152,12288
rita,3,10.0,-0.0021673352,-0.002759229,0.061538205,12288
rita,6,6.0,0.0051192185,0.0007859282,0.045741692,12288
rita,6,8.0,0.0025964617,-0.00073958,0.05120179,12288
rita,6,10.0,-0.0015191276,-0.0028746184,0.049604505,12288
rita,9,6.0,0.006057907,-0.0007491261,0.05807611,12288
rita,9,8.0,0.0034948469,-0.0025491603,0.06480908,12288
rita,9,10.0,-0.0011127444,-0.0054020463,0.063344344,12288
rita,12,6.0,0.0054271915,-0.0011786036,0.05529483,12288
rita,12,8.0,0.0028635438,-0.0029647313,0.061136357,12288
rita,12,10.0,-0.0019813755,-0.0064661857,0.061666675,12288
rita,15,6.0,0.0063112597,-0.0008786842,0.059110478,12288
rita,15,8.0,0.004284188,-0.002822413,0.06659271,12288
rita,15,10.0,-7.0861126e-05,-0.0065490045,0.06806096,12288
rita,18,6.0,0.005398059,-0.0011734422,0.05539355,12288
rita,18,8.0,0.0033960368,-0.0032679364,0.0630714,12288
rita,18,10.0,-0.0010900997,-0.006978959,0.06568765,12288
rita,21,6.0,0.004607461,-0.00079786964,0.04827732,12288
rita,21,8.0,0.0029671097,-0.0024244972,0.054798786,12288
rita,21,10.0,-0.000856008,-0.0055919737,0.056380194,12288
rita,23,6.0,0.0032663757,-0.0011295537,0.037930366,12288
rita,23,8.0,0.0010466919,-0.0023996793,0.04393925,12288
rita,23,10.0,-0.0031094633,-0.005431764,0.045960154,12288
