pair,variant,rel_depth,layer,split,d_point,d_boot_mean,boot_sd,ci_normal_lo,ci_normal_hi,ci_pct_lo,ci_pct_hi
pt5_enc_vs_dec,seq_topdec,38%,L9,full,-1.5714862980751139,-1.5331331736967975,0.03466438230570711,-1.6394284873942997,-1.503544108755928,-1.6005447440119787,-1.4678130789823867
pt5_enc_vs_dec,seq_topdec,38%,L9,val,-1.2098176785524972,-1.057396710221267,0.07633650685516946,-1.3594372319886294,-1.060198125116365,-1.201885111894823,-0.9070091982209227
pt5_enc_vs_dec,struct_topdec,50%,L12,full,0.40243239626770577,0.3697421103776579,0.024620788065916815,0.35417565165850884,0.4506891408769027,0.3220881562574368,0.41850116426060185
pt5_enc_vs_dec,struct_topdec,50%,L12,val,0.28634123590736466,0.22187468719556572,0.033484216305535316,0.22071217194851545,0.35197029986621386,0.15910696602371138,0.2911410963232895
pt5_enc_vs_dec,seq_topdec,50%,L12,full,-0.07967687347916909,-0.07847765875937825,0.05238701576139597,-0.1823554243715052,0.023001677413167013,-0.17777229442926354,0.02822535927957219
pt5_enc_vs_dec,seq_topdec,50%,L12,val,0.18131278873331075,0.14785227280887778,0.09362688041827862,-0.002195896886515336,0.36482147435313683,-0.03997557987593761,0.3330423583356754
pt5_enc_vs_dec,struct_topdec,63%,L15,full,0.4264704575532653,0.3946591077964936,0.02345036612615759,0.3805077399459964,0.4724331751605342,0.3489845548742886,0.4419369499558881
pt5_enc_vs_dec,struct_topdec,63%,L15,val,0.2998209249923478,0.2330049910479973,0.039493547263129654,0.2224135723566137,0.3772282776280819,0.15933773574626764,0.3102426388980958
pt5_enc_vs_dec,seq_topdec,63%,L15,full,1.7081410671134838,1.6457255346001824,0.04552853773470703,1.618905133153458,1.7973770010735095,1.56081920809846,1.7378607894882458
pt5_enc_vs_dec,seq_topdec,63%,L15,val,1.6467469357842843,1.4108020782371078,0.09644498978590953,1.4577147558039016,1.835779115764667,1.2184160025615314,1.5927836001627151
pt5_enc_vs_dec,struct_topdec,75%,L18,full,0.5006655346281154,0.47182290427812884,0.020438710686376742,0.46060566168281697,0.5407254075734138,0.43261117655558884,0.5111833034430163
pt5_enc_vs_dec,struct_topdec,75%,L18,val,0.35135606001418695,0.28480780706153724,0.028074087405194303,0.29633084870000614,0.40638127132836777,0.23214043771676224,0.3402841535876992
pt5_enc_vs_dec,seq_topdec,75%,L18,full,1.330009062591268,1.2732265363314619,0.04922898476963349,1.2335202524427864,1.4264978727397495,1.1756851252112994,1.3662505050315794
pt5_enc_vs_dec,seq_topdec,75%,L18,val,1.1565259204650336,0.9945323766879757,0.08166446464262525,0.996463569765488,1.316588271164579,0.8402792650071841,1.1453620360432317
pt5_enc_vs_dec,struct_topdec,88%,L21,full,0.6877800585976013,0.6588476285137506,0.018245281318461738,0.6520193072134163,0.7235408099817863,0.6247497914541322,0.6945159707832191
pt5_enc_vs_dec,struct_topdec,88%,L21,val,0.4709234617394552,0.3967681041461139,0.021364717926611192,0.42904861460329724,0.5127983088756132,0.35486064404392287,0.43838835321178093
pt5_enc_vs_dec,seq_topdec,88%,L21,full,-0.48111523154564,-0.4593505743853581,0.07442920330518132,-0.6269964700237954,-0.3352339930674846,-0.5633598780943461,-0.27511747859724134
