model_a,layer_a,model_b,layer_b,rel_depth_a,rel_depth_b,contact_cutoff,mean_a,mean_b,cohens_d,MW_p,significant,hypothesis,source,pair,window,variant
rita,0,esm2,0,,,,,,-1.3699730408979576,1.0,False,H2 (RITA seq > ESM-2),H2_window,1.0,1.0,raw
protgpt2,0,esm2,0,,,,,,3.4626599110970595,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,1.0,1.0,raw
protgpt2,0,esm2,0,,,,,,-2.3739866841832584,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,1.0,1.0,inter
rita,3,esm2,4,,,,,,0.2602139073934675,1.0,False,H2 (RITA seq > ESM-2),H2_window,2.0,1.0,raw
protgpt2,4,esm2,4,,,,,,2.5713465096299113,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,2.0,1.0,raw
protgpt2,4,esm2,4,,,,,,-2.9657884823147955,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,2.0,1.0,inter
rita,6,esm2,8,,,,,,-0.1594184393542341,1.0,False,H2 (RITA seq > ESM-2),H2_window,3.0,1.0,raw
protgpt2,9,esm2,8,,,,,,2.668802301334208,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,3.0,1.0,raw
protgpt2,9,esm2,8,,,,,,-4.464215914066509,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,3.0,1.0,inter
rita,9,esm2,12,,,,,,-0.907571438956448,1.0,False,H2 (RITA seq > ESM-2),H2_window,4.0,1.0,raw
protgpt2,13,esm2,12,,,,,,1.9642393848483424,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,4.0,1.0,raw
protgpt2,13,esm2,12,,,,,,-6.0077902543083495,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,4.0,1.0,inter
rita,12,esm2,16,,,,,,-1.836128147987279,1.0,False,H2 (RITA seq > ESM-2),H2_window,5.0,1.0,raw
protgpt2,18,esm2,16,,,,,,1.945374710139673,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,5.0,1.0,raw
protgpt2,18,esm2,16,,,,,,-7.656100285526986,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,5.0,1.0,inter
rita,15,esm2,20,,,,,,-2.1375961646629436,1.0,False,H2 (RITA seq > ESM-2),H2_window,6.0,1.0,raw
protgpt2,22,esm2,20,,,,,,1.9573188412980944,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,6.0,1.0,raw
protgpt2,22,esm2,20,,,,,,-5.759144990059978,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,6.0,1.0,inter
rita,18,esm2,24,,,,,,-2.1669927227288315,1.0,False,H2 (RITA seq > ESM-2),H2_window,7.0,1.0,raw
protgpt2,27,esm2,24,,,,,,2.613492275430421,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,7.0,1.0,raw
protgpt2,27,esm2,24,,,,,,-5.551188129764383,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,7.0,1.0,inter
rita,21,esm2,28,,,,,,-0.5514491853670116,1.0,False,H2 (RITA seq > ESM-2),H2_window,8.0,1.0,raw
protgpt2,31,esm2,28,,,,,,4.2447134149598735,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,8.0,1.0,raw
protgpt2,31,esm2,28,,,,,,-4.819224974403979,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,8.0,1.0,inter
rita,23,esm2,32,,,,,,0.9645158654737316,0.0,True,H2 (RITA seq > ESM-2),H2_window,9.0,1.0,raw
protgpt2,35,esm2,32,,,,,,6.495055477693005,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,9.0,1.0,raw
protgpt2,35,esm2,32,,,,,,-3.989215747707856,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,9.0,1.0,inter
rita,0,esm2,0,,,,,,-1.6435881936222516,1.0,False,H2 (RITA seq > ESM-2),H2_window,1.0,2.0,raw
protgpt2,0,esm2,0,,,,,,3.2424097240833696,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,1.0,2.0,raw
protgpt2,0,esm2,0,,,,,,-2.276056060582712,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,1.0,2.0,inter
rita,3,esm2,4,,,,,,0.1770532269931136,1.0,False,H2 (RITA seq > ESM-2),H2_window,2.0,2.0,raw
protgpt2,4,esm2,4,,,,,,2.511444458964237,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,2.0,2.0,raw
protgpt2,4,esm2,4,,,,,,-1.9629971630974627,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,2.0,2.0,inter
rita,6,esm2,8,,,,,,-0.2618640955571161,1.0,False,H2 (RITA seq > ESM-2),H2_window,3.0,2.0,raw
protgpt2,9,esm2,8,,,,,,2.5825678078000607,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,3.0,2.0,raw
protgpt2,9,esm2,8,,,,,,-3.006229980260471,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,3.0,2.0,inter
rita,9,esm2,12,,,,,,-1.098792336339905,1.0,False,H2 (RITA seq > ESM-2),H2_window,4.0,2.0,raw
protgpt2,13,esm2,12,,,,,,1.820800706314372,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,4.0,2.0,raw
protgpt2,13,esm2,12,,,,,,-4.908116355940719,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,4.0,2.0,inter
rita,12,esm2,16,,,,,,-2.029196429987597,1.0,False,H2 (RITA seq > ESM-2),H2_window,5.0,2.0,raw
protgpt2,18,esm2,16,,,,,,1.688017877075519,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,5.0,2.0,raw
protgpt2,18,esm2,16,,,,,,-6.095226983660401,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,5.0,2.0,inter
rita,15,esm2,20,,,,,,-2.3056078910228655,1.0,False,H2 (RITA seq > ESM-2),H2_window,6.0,2.0,raw
protgpt2,22,esm2,20,,,,,,1.7513786095510062,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,6.0,2.0,raw
protgpt2,22,esm2,20,,,,,,-3.444018239216483,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,6.0,2.0,inter
rita,18,esm2,24,,,,,,-2.188246014936622,1.0,False,H2 (RITA seq > ESM-2),H2_window,7.0,2.0,raw
protgpt2,27,esm2,24,,,,,,2.3778338437361803,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,7.0,2.0,raw
protgpt2,27,esm2,24,,,,,,-2.1212297871195966,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,7.0,2.0,inter
rita,21,esm2,28,,,,,,-0.4631387955311273,1.0,False,H2 (RITA seq > ESM-2),H2_window,8.0,2.0,raw
protgpt2,31,esm2,28,,,,,,4.14868230905779,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,8.0,2.0,raw
protgpt2,31,esm2,28,,,,,,-1.5990261524389695,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,8.0,2.0,inter
rita,23,esm2,32,,,,,,0.9831368261191104,0.0,True,H2 (RITA seq > ESM-2),H2_window,9.0,2.0,raw
protgpt2,35,esm2,32,,,,,,5.91574025104584,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,9.0,2.0,raw
protgpt2,35,esm2,32,,,,,,-1.4715767306713874,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,9.0,2.0,inter
rita,0,esm2,0,,,,,,-1.92325578623699,1.0,False,H2 (RITA seq > ESM-2),H2_window,1.0,4.0,raw
protgpt2,0,esm2,0,,,,,,2.637710116973216,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,1.0,4.0,raw
protgpt2,0,esm2,0,,,,,,-2.3580376658197393,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,1.0,4.0,inter
rita,3,esm2,4,,,,,,0.0285606079444469,1.0,False,H2 (RITA seq > ESM-2),H2_window,2.0,4.0,raw
protgpt2,4,esm2,4,,,,,,2.4355306117805036,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,2.0,4.0,raw
protgpt2,4,esm2,4,,,,,,-1.8317309465857856,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,2.0,4.0,inter
rita,6,esm2,8,,,,,,-0.6097938539008988,1.0,False,H2 (RITA seq > ESM-2),H2_window,3.0,4.0,raw
protgpt2,9,esm2,8,,,,,,2.3726598709056614,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,3.0,4.0,raw
protgpt2,9,esm2,8,,,,,,-2.904590655068694,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,3.0,4.0,inter
rita,9,esm2,12,,,,,,-1.6917873555030285,1.0,False,H2 (RITA seq > ESM-2),H2_window,4.0,4.0,raw
protgpt2,13,esm2,12,,,,,,1.4500062411747223,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,4.0,4.0,raw
protgpt2,13,esm2,12,,,,,,-4.86722015832771,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,4.0,4.0,inter
rita,12,esm2,16,,,,,,-2.7908691595141915,1.0,False,H2 (RITA seq > ESM-2),H2_window,5.0,4.0,raw
protgpt2,18,esm2,16,,,,,,0.9629449014665494,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,5.0,4.0,raw
protgpt2,18,esm2,16,,,,,,-6.152659931937313,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,5.0,4.0,inter
rita,15,esm2,20,,,,,,-2.9999322221520925,1.0,False,H2 (RITA seq > ESM-2),H2_window,6.0,4.0,raw
protgpt2,22,esm2,20,,,,,,1.173552945099569,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,6.0,4.0,raw
protgpt2,22,esm2,20,,,,,,-3.558376866029719,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,6.0,4.0,inter
rita,18,esm2,24,,,,,,-2.663677845016476,1.0,False,H2 (RITA seq > ESM-2),H2_window,7.0,4.0,raw
protgpt2,27,esm2,24,,,,,,1.7025262210784855,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,7.0,4.0,raw
protgpt2,27,esm2,24,,,,,,-1.948641491709019,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,7.0,4.0,inter
rita,21,esm2,28,,,,,,-0.5438424502120155,1.0,False,H2 (RITA seq > ESM-2),H2_window,8.0,4.0,raw
protgpt2,31,esm2,28,,,,,,3.731278960966832,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,8.0,4.0,raw
protgpt2,31,esm2,28,,,,,,-1.1522496377501708,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,8.0,4.0,inter
rita,23,esm2,32,,,,,,1.1617700890940772,0.0,True,H2 (RITA seq > ESM-2),H2_window,9.0,4.0,raw
protgpt2,35,esm2,32,,,,,,5.2631787356666715,0.0,True,H2 raw (ProtGPT2 seq > ESM-2),H2_window,9.0,4.0,raw
protgpt2,35,esm2,32,,,,,,-1.1610095668103209,1.0,False,H2' (ProtGPT2 inter-token seq > ESM-2),H2_window,9.0,4.0,inter
